time,precipIntensity,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover
2018-01-01 00:00:00,0.0,22.44,22.73,18.1,0.77,,0.0,0.19
2018-01-01 01:00:00,0.0,21.88,22.15,17.75,0.77,,0.0,
2018-01-01 02:00:00,0.0,21.33,21.63,17.94,0.81,,0.0,
2018-01-01 03:00:00,0.0,20.77,21.07,17.75,0.83,,0.0,
2018-01-01 04:00:00,0.0,19.11,19.33,16.79,0.86,,0.0,
2018-01-01 05:00:00,0.0,21.63,21.8,16.91,0.75,,0.0,
2018-01-01 06:00:00,0.0,20.23,20.44,17.01,0.82,1014.9,3.85,0.38
2018-01-01 07:00:00,0.0,21.19,21.37,16.91,0.77,,0.0,0.19
2018-01-01 08:00:00,0.0,24.0,24.24,17.83,0.68,,3.93,0.19
2018-01-01 09:00:00,0.0,25.14,25.36,17.63,0.63,1016.29,9.4,0.38
2018-01-01 10:00:00,0.0,26.54,27.37,17.32,0.57,,9.74,
2018-01-01 11:00:00,0.0,27.38,28.28,17.95,0.56,,8.3,0.19
2018-01-01 12:00:00,0.0,28.83,29.56,17.67,0.51,1015.52,7.52,0.32
2018-01-01 13:00:00,0.0,29.06,29.81,17.76,0.51,,1.79,0.19
2018-01-01 14:00:00,0.0,29.74,30.61,18.06,0.5,,0.79,0.44
2018-01-01 15:00:00,0.0,29.47,30.2,17.74,0.49,,1.21,0.57
2018-01-01 16:00:00,0.0,29.58,30.21,17.51,0.48,,2.49,0.44
2018-01-01 17:00:00,0.0,28.47,29.24,17.72,0.52,,3.38,0.44
2018-01-01 18:00:00,0.0,26.81,27.61,17.4,0.56,1012.8,2.53,0.57
2018-01-01 19:00:00,0.0,25.41,25.59,17.36,0.61,,4.75,0.44
2018-01-01 20:00:00,0.0,24.86,25.04,17.36,0.63,,4.47,0.19
2018-01-01 21:00:00,0.0,24.0,24.16,17.02,0.65,1014.99,2.72,0.5
2018-01-01 22:00:00,0.0,23.56,23.72,17.15,0.67,,1.54,
2018-01-01 23:00:00,0.0,22.77,22.95,17.17,0.71,,0.0,
2018-01-02 00:00:00,0.0,21.28,21.43,16.76,0.75,1014.8,1.11,0.13
2018-01-02 01:00:00,0.0,22.64,22.8,16.99,0.7,,0.0,
2018-01-02 02:00:00,0.0,22.25,22.41,16.99,0.72,,0.0,
2018-01-02 03:00:00,0.0,21.63,21.81,17.02,0.75,,0.0,
2018-01-02 04:00:00,0.0,21.69,21.86,16.97,0.75,,0.0,
2018-01-02 05:00:00,0.0,21.69,21.83,16.7,0.73,,0.0,
2018-01-02 06:00:00,0.0,21.43,21.58,16.75,0.75,1014.29,4.41,0.88
2018-01-02 07:00:00,0.0,22.04,22.12,16.18,0.69,,3.38,
2018-01-02 08:00:00,0.0,23.44,23.56,16.63,0.66,,9.87,
2018-01-02 09:00:00,0.0,24.42,24.48,16.05,0.6,1014.61,9.67,0.88
2018-01-02 10:00:00,0.0,25.97,26.03,15.98,0.54,,12.52,
2018-01-02 11:00:00,0.0,27.37,27.7,15.69,0.49,,12.81,
2018-01-02 12:00:00,0.0,28.68,28.85,15.98,0.46,1014.9,9.72,0.63
2018-01-02 13:00:00,0.0,29.61,29.86,16.49,0.45,,8.38,
2018-01-02 14:00:00,0.0,29.88,29.88,15.74,0.43,,10.78,
2018-01-02 15:00:00,0.0,29.47,29.82,16.78,0.46,,3.67,0.19
2018-01-02 16:00:00,0.0,29.32,30.07,17.78,0.5,,2.86,0.19
