"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-01-01 00:00:00,0,22.44,22.73,18.1,0.77,NA,0,0.19,0,10.01
"2",2018-01-01 01:00:00,0,21.88,22.15,17.75,0.77,NA,0,NA,0,10.01
"3",2018-01-01 02:00:00,0,21.33,21.63,17.94,0.81,NA,0,NA,0,10.01
"4",2018-01-01 03:00:00,0,20.77,21.07,17.75,0.83,NA,0,NA,0,10.01
"5",2018-01-01 04:00:00,0,19.11,19.33,16.79,0.86,NA,0,NA,0,10.01
"6",2018-01-01 05:00:00,0,21.63,21.8,16.91,0.75,NA,0,NA,0,10.01
"7",2018-01-01 06:00:00,0,20.23,20.44,17.01,0.82,1014.9,3.85,0.38,0,10.01
"8",2018-01-01 07:00:00,0,21.19,21.37,16.91,0.77,NA,0,0.19,0,10.01
"9",2018-01-01 08:00:00,0,24,24.24,17.83,0.68,NA,3.93,0.19,1,10.01
"10",2018-01-01 09:00:00,0,25.14,25.36,17.63,0.63,1016.29,9.4,0.38,3,10.01
"11",2018-01-01 10:00:00,0,26.54,27.37,17.32,0.57,NA,9.74,NA,NA,10.01
"12",2018-01-01 11:00:00,0,27.38,28.28,17.95,0.56,NA,8.3,0.19,6,10.01
"13",2018-01-01 12:00:00,0,28.83,29.56,17.67,0.51,1015.52,7.52,0.32,6,10.01
"14",2018-01-01 13:00:00,0,29.06,29.81,17.76,0.51,NA,1.79,0.19,6,10.01
"15",2018-01-01 14:00:00,0,29.74,30.61,18.06,0.5,NA,0.79,0.44,4,10.01
"16",2018-01-01 15:00:00,0,29.47,30.2,17.74,0.49,NA,1.21,0.57,3,10.01
"17",2018-01-01 16:00:00,0,29.58,30.21,17.51,0.48,NA,2.49,0.44,1,10.01
"18",2018-01-01 17:00:00,0,28.47,29.24,17.72,0.52,NA,3.38,0.44,0,10.01
"19",2018-01-01 18:00:00,0,26.81,27.61,17.4,0.56,1012.8,2.53,0.57,0,10.01
"20",2018-01-01 19:00:00,0,25.41,25.59,17.36,0.61,NA,4.75,0.44,0,10.01
"21",2018-01-01 20:00:00,0,24.86,25.04,17.36,0.63,NA,4.47,0.19,0,10.01
"22",2018-01-01 21:00:00,0,24,24.16,17.02,0.65,1014.99,2.72,0.5,0,10.01
"23",2018-01-01 22:00:00,0,23.56,23.72,17.15,0.67,NA,1.54,NA,0,10.01
"24",2018-01-01 23:00:00,0,22.77,22.95,17.17,0.71,NA,0,NA,0,10.01
"25",2018-01-02 00:00:00,0,21.28,21.43,16.76,0.75,1014.8,1.11,0.13,0,10.01
"26",2018-01-02 01:00:00,0,22.64,22.8,16.99,0.7,NA,0,NA,0,10.01
"27",2018-01-02 02:00:00,0,22.25,22.41,16.99,0.72,NA,0,NA,0,10.01
"28",2018-01-02 03:00:00,0,21.63,21.81,17.02,0.75,NA,0,NA,0,10.01
"29",2018-01-02 04:00:00,0,21.69,21.86,16.97,0.75,NA,0,NA,0,10.01
"30",2018-01-02 05:00:00,0,21.69,21.83,16.7,0.73,NA,0,NA,0,10.01
"31",2018-01-02 06:00:00,0,21.43,21.58,16.75,0.75,1014.29,4.41,0.88,0,10.01
"32",2018-01-02 07:00:00,0,22.04,22.12,16.18,0.69,NA,3.38,NA,NA,10.01
"33",2018-01-02 08:00:00,0,23.44,23.56,16.63,0.66,NA,9.87,NA,NA,10.01
"34",2018-01-02 09:00:00,0,24.42,24.48,16.05,0.6,1014.61,9.67,0.88,2,10.01
"35",2018-01-02 10:00:00,0,25.97,26.03,15.98,0.54,NA,12.52,NA,NA,10.01
"36",2018-01-02 11:00:00,0,27.37,27.7,15.69,0.49,NA,12.81,NA,NA,10.01
"37",2018-01-02 12:00:00,0,28.68,28.85,15.98,0.46,1014.9,9.72,0.63,5,10.01
"38",2018-01-02 13:00:00,0,29.61,29.86,16.49,0.45,NA,8.38,NA,NA,10.01
"39",2018-01-02 14:00:00,0,29.88,29.88,15.74,0.43,NA,10.78,NA,NA,10.01
"40",2018-01-02 15:00:00,0,29.47,29.82,16.78,0.46,NA,3.67,0.19,3,10.01
"41",2018-01-02 16:00:00,0,29.32,30.07,17.78,0.5,NA,2.86,0.19,1,10.01
"42",2018-01-02 17:00:00,0,27.07,27.99,17.96,0.58,NA,3.51,0.19,0,10.01
"43",2018-01-02 18:00:00,0,25.41,25.66,18,0.64,NA,4.81,0.19,0,10.01
"44",2018-01-02 19:00:00,0,24.08,24.27,17.42,0.66,NA,6.94,0.19,0,10.01
"45",2018-01-02 20:00:00,0,23.44,23.63,17.29,0.68,NA,3.06,0.19,0,10.01
"46",2018-01-02 21:00:00,0,22.77,22.94,17.12,0.71,1014.2,0.76,0.75,0,10.01
"47",2018-01-02 22:00:00,0,22.9,23.05,16.94,0.69,NA,2.95,NA,0,10.01
"48",2018-01-02 23:00:00,0,21.52,21.64,16.54,0.73,NA,4.89,NA,0,10.01
"49",2018-01-03 00:00:00,0,21.49,21.58,16.25,0.72,1013.5,4.1,0.5,0,10.01
"50",2018-01-03 01:00:00,0,21.13,21.26,16.47,0.75,NA,3.48,NA,0,10.01
"51",2018-01-03 02:00:00,0,19.67,19.75,15.94,0.79,NA,4.28,NA,0,NA
"52",2018-01-03 03:00:00,0,20.34,20.46,16.3,0.78,NA,9.16,NA,0,10.01
"53",2018-01-03 04:00:00,0,19.99,20.12,16.31,0.79,NA,5.17,NA,0,10.01
"54",2018-01-03 05:00:00,0,19.64,19.78,16.31,0.81,NA,0,NA,0,10.01
"55",2018-01-03 06:00:00,0,19.11,19.23,16.11,0.83,1012.8,11.18,1,0,10.01
"56",2018-01-03 07:00:00,0,19.63,19.74,16.11,0.8,NA,7.11,NA,NA,10.01
"57",2018-01-03 08:00:00,0,22.44,22.6,16.99,0.71,NA,8.34,NA,NA,10.01
"58",2018-01-03 09:00:00,0,24.66,24.81,16.98,0.62,1014.99,11.88,0.75,2,10.01
"59",2018-01-03 10:00:00,0,26.89,27.82,17.96,0.58,NA,12.71,NA,NA,10.01
"60",2018-01-03 11:00:00,0,26.32,26.58,17.98,0.6,NA,14.65,NA,NA,10.01
"61",2018-01-03 12:00:00,0,27.22,28.06,17.69,0.56,1014.29,15.18,0.19,7,10.01
"62",2018-01-03 13:00:00,0,28.24,29.19,18.21,0.55,NA,20.54,0.19,6,10.01
"63",2018-01-03 14:00:00,0,29.24,30.07,17.97,0.51,NA,21.07,0.19,5,10.01
"64",2018-01-03 15:00:00,0,28.24,29.93,19.98,0.61,NA,2.69,0.44,3,10.01
"65",2018-01-03 16:00:00,0,28.24,29.11,17.98,0.54,NA,5.95,0.19,1,10.01
"66",2018-01-03 17:00:00,0,25.64,25.9,17.98,0.63,NA,0,0.19,0,10.01
"67",2018-01-03 18:00:00,0,24.23,24.27,15.99,0.6,1013.59,19.38,0.38,0,10.01
"68",2018-01-03 19:00:00,0,22.61,22.61,15.37,0.64,NA,7.81,NA,0,10.01
"69",2018-01-03 20:00:00,0,22.38,22.38,15.02,0.63,NA,10.78,NA,0,10.01
"70",2018-01-03 21:00:00,0,22.04,22.04,14.84,0.64,1014.99,9.51,0.25,0,10.01
"71",2018-01-03 22:00:00,0,21.67,21.67,14.97,0.66,NA,5.73,NA,0,10.01
"72",2018-01-03 23:00:00,0,21.34,21.34,15.06,0.67,NA,6.28,NA,0,10.01
"73",2018-01-04 00:00:00,0,21.23,21.23,14.72,0.66,1013.41,2.96,NA,0,10.01
"74",2018-01-04 01:00:00,0,21.33,21.33,14.99,0.67,NA,0,NA,0,10.01
"75",2018-01-04 02:00:00,0,21.33,21.33,14.88,0.67,NA,1.05,NA,0,10.01
"76",2018-01-04 03:00:00,0,21.13,21.13,14.78,0.67,NA,0,NA,0,10.01
"77",2018-01-04 04:00:00,0,21.13,21.13,14.35,0.65,NA,0,NA,0,10.01
"78",2018-01-04 05:00:00,0,21.13,21.13,14.35,0.65,NA,4.2,NA,0,10.01
"79",2018-01-04 06:00:00,0,20.64,20.64,14.06,0.66,1014.51,2.3,NA,0,10.01
