"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-02-01 00:00:00,0,21.13,21.14,15.54,0.7,NA,1.38,NA,0,10.01
"2",2018-02-01 01:00:00,0,21.63,21.67,15.86,0.7,NA,3.23,NA,0,10.01
"3",2018-02-01 02:00:00,0,21.33,21.36,15.75,0.71,NA,1.75,NA,0,10.01
"4",2018-02-01 03:00:00,0,20.58,20.58,15.42,0.72,NA,3.12,NA,0,10.01
"5",2018-02-01 04:00:00,0,20.22,20.27,15.74,0.76,NA,1.61,NA,0,10.01
"6",2018-02-01 05:00:00,0,20.58,20.61,15.63,0.73,NA,3.07,NA,0,10.01
"7",2018-02-01 06:00:00,0,19.59,19.61,15.45,0.77,NA,12.1,NA,0,10.01
"8",2018-02-01 07:00:00,0,19.61,19.66,15.64,0.78,NA,8.59,NA,NA,10.01
"9",2018-02-01 08:00:00,0,21.78,21.86,16.18,0.71,NA,9.43,NA,NA,10.01
"10",2018-02-01 09:00:00,0,24.53,24.67,16.87,0.62,NA,7.35,NA,NA,10.01
"11",2018-02-01 10:00:00,0,25.39,25.58,17.29,0.61,NA,12.73,NA,NA,10.01
"12",2018-02-01 11:00:00,0,27.62,28.26,17.11,0.53,NA,11.15,NA,NA,10.01
"13",2018-02-01 12:00:00,0,28.83,29.54,17.62,0.51,NA,10.35,NA,NA,10.01
"14",2018-02-01 13:00:00,0,29.88,30.69,17.93,0.49,NA,9.53,0.19,8,10.01
"15",2018-02-01 14:00:00,0,29.97,30.89,18.16,0.49,NA,3.59,0.19,6,10.01
"16",2018-02-01 15:00:00,0,29.97,31.12,18.62,0.51,NA,2.14,0.19,4,10.01
"17",2018-02-01 16:00:00,0,30.78,31.73,18.18,0.47,NA,3.85,0.36,2,10.01
"18",2018-02-01 17:00:00,0,29.68,30.75,18.47,0.51,NA,3.89,0.19,0,10.01
"19",2018-02-01 18:00:00,0,27.83,28.77,18.15,0.56,NA,2.67,0.19,0,10.01
"20",2018-02-01 19:00:00,0,26.28,27.51,19.43,0.66,NA,2.75,0.44,0,10.01
