"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-03-01 00:00:00,0,21.24,21.24,15.1,0.68,NA,0,NA,0,10.01
"2",2018-03-01 01:00:00,0,20.03,20.08,15.7,0.76,NA,1.61,NA,0,10.01
"3",2018-03-01 02:00:00,0,20.03,20.08,15.7,0.76,NA,1.77,NA,0,10.01
"4",2018-03-01 03:00:00,0,19.32,19.34,15.41,0.78,NA,1.88,NA,0,10.01
"5",2018-03-01 04:00:00,0,18.61,18.61,15.1,0.8,NA,2.64,NA,0,10.01
"6",2018-03-01 05:00:00,0,18.61,18.64,15.35,0.81,NA,1.88,NA,0,10.01
"7",2018-03-01 06:00:00,0,19.11,19.11,14.99,0.77,NA,3.6,NA,0,10.01
"8",2018-03-01 07:00:00,0,19.23,19.34,15.99,0.82,NA,3.6,NA,NA,10.01
"9",2018-03-01 08:00:00,0,23.22,23.27,15.99,0.64,NA,5.41,NA,NA,10.01
"10",2018-03-01 09:00:00,0,25.78,26.01,17.66,0.61,NA,5.31,0.19,4,10.01
"11",2018-03-01 10:00:00,0,27.22,28.14,17.98,0.57,NA,5.57,0.19,6,10.01
"12",2018-03-01 11:00:00,0,28.24,29.11,17.97,0.54,NA,9.37,0.44,7,10.01
"13",2018-03-01 12:00:00,0,28.12,28.61,16.81,0.5,NA,7.29,0.36,9,10.01
"14",2018-03-01 13:00:00,0,28.67,29.22,17.13,0.5,NA,7.11,0.36,8,10.01
"15",2018-03-01 14:00:00,0,29.21,30.74,19.46,0.56,NA,5.6,0.36,7,10.01
"16",2018-03-01 15:00:00,0,29.72,31.68,20.14,0.57,NA,8.1,0.19,5,10.01
"17",2018-03-01 16:00:00,0,27.99,29.98,20.72,0.65,NA,11.8,0.19,2,10.01
"18",2018-03-01 17:00:00,0,26.32,27.83,20.67,0.71,NA,12.5,0.19,0,10.01
"19",2018-03-01 18:00:00,0,24.66,25.18,20.27,0.77,NA,8.53,NA,NA,10.01
"20",2018-03-01 19:00:00,0,23.22,23.74,19.94,0.82,NA,5.73,NA,0,10.01
"21",2018-03-01 20:00:00,0,23.56,23.82,17.98,0.71,NA,3.67,NA,0,10.01
"22",2018-03-01 21:00:00,0,22.24,22.32,16.24,0.69,NA,1.61,NA,0,10.01
"23",2018-03-01 22:00:00,0,22.24,22.24,15.49,0.66,NA,0,NA,0,10.01
"24",2018-03-01 23:00:00,0,21.88,21.88,15.09,0.65,NA,2.7,NA,0,10.01
"25",2018-03-02 00:00:00,0,20.23,20.23,14.99,0.72,NA,2.7,0.13,0,10.01
"26",2018-03-02 01:00:00,0,21.46,21.47,15.61,0.69,NA,1.88,NA,0,10.01
"27",2018-03-02 02:00:00,0,21.09,21.12,15.69,0.71,NA,1.45,NA,0,10.01
"28",2018-03-02 03:00:00,0,21.44,21.48,15.83,0.7,NA,1.88,NA,0,10.01
"29",2018-03-02 04:00:00,0,20.4,20.54,16.46,0.78,NA,1.88,NA,0,NA
"30",2018-03-02 05:00:00,0,21.88,22.01,16.57,0.72,NA,0,NA,0,NA
"31",2018-03-02 06:00:00,0,20.23,20.42,16.82,0.81,NA,1.96,0.44,0,10.01
"32",2018-03-02 07:00:00,0,21.24,21.42,17.02,0.77,NA,3.56,0.65,0,10.01
"33",2018-03-02 08:00:00,0,23.22,23.49,17.99,0.72,NA,0,0.65,1,10.01
"34",2018-03-02 09:00:00,0,24.66,25.03,18.99,0.71,NA,6.44,0.75,3,10.01
"35",2018-03-02 10:00:00,0,27.22,28.31,18.58,0.59,NA,6.44,0.44,6,10.01
"36",2018-03-02 11:00:00,0,27.43,28.65,18.99,0.6,NA,8.64,0.44,7,10.01
"37",2018-03-02 12:00:00,0,27.99,29.06,18.5,0.56,NA,8.69,0.53,8,10.01
"38",2018-03-02 13:00:00,0,28.64,29.37,17.65,0.52,NA,6.44,0.65,7,10.01
"39",2018-03-02 14:00:00,0,29.09,29.78,17.59,0.5,NA,5.01,0.44,6,10.01
"40",2018-03-02 15:00:00,0,29.09,32.14,21.99,0.66,NA,11.47,0.36,4,10.01
"41",2018-03-02 16:00:00,0,27.99,30.44,21.62,0.68,NA,7.18,0.19,2,10.01
"42",2018-03-02 17:00:00,0,28.24,30.97,21.94,0.69,NA,9.37,0.19,0,10.01
"43",2018-03-02 18:00:00,0,25.78,26.42,21.36,0.77,NA,9.04,0.14,0,10.01
"44",2018-03-02 19:00:00,0,24.23,24.88,21.22,0.83,NA,6.92,0.44,0,10.01
"45",2018-03-02 20:00:00,0,24.09,24.73,21.04,0.83,NA,5.41,0.26,0,10.01
"46",2018-03-02 21:00:00,0,24.09,24.71,20.86,0.82,NA,1.61,0.44,0,10.01
"47",2018-03-02 22:00:00,0,24.23,24.71,19.87,0.77,NA,2.19,0.26,0,10.01
"48",2018-03-02 23:00:00,0,23.22,23.77,20.13,0.83,NA,0,0.26,0,10.01
"49",2018-03-03 00:00:00,0,24.09,24.51,19.33,0.75,NA,0,0.58,0,10.01
"50",2018-03-03 01:00:00,0,23.23,23.75,19.94,0.82,NA,3.23,0.44,0,10.01
"51",2018-03-03 02:00:00,0,22.88,23.28,18.98,0.79,NA,4.81,0.19,0,10.01
"52",2018-03-03 03:00:00,0,22.52,22.88,18.63,0.79,NA,3.23,0.44,0,10.01
"53",2018-03-03 04:00:00,0,22.88,23.21,18.41,0.76,NA,8.03,0.44,0,10.01
"54",2018-03-03 05:00:00,0,22.17,22.51,18.35,0.79,NA,1.88,0.75,0,10.01
"55",2018-03-03 06:00:00,0,21.63,21.69,16.06,0.71,NA,6.08,0.65,0,10.01
"56",2018-03-03 07:00:00,0,23,23.16,17.03,0.69,NA,8.19,0.26,0,10.01
"57",2018-03-03 08:00:00,0,24.66,24.77,16.6,0.61,NA,9.37,0.19,2,10.01
"58",2018-03-03 09:00:00,0,25.23,25.28,15.98,0.57,NA,11.73,0.19,4,10.01
"59",2018-03-03 10:00:00,0,28.24,28.76,16.92,0.5,NA,14.53,0.19,7,10.01
"60",2018-03-03 11:00:00,0,29.24,29.43,16.26,0.46,NA,14.6,0.19,9,10.01
"61",2018-03-03 12:00:00,0,29.09,29.94,17.98,0.51,NA,6.44,0.19,10,10.01
"62",2018-03-03 13:00:00,0,30.22,31.57,18.98,0.51,NA,12.86,0.19,9,10.01
"63",2018-03-03 14:00:00,0,31.33,32.76,18.98,0.48,NA,12.86,0.19,7,10.01
"64",2018-03-03 15:00:00,0,31.87,33.35,18.98,0.47,NA,9.66,0.19,5,10.01
"65",2018-03-03 16:00:00,0,31.24,32.11,17.97,0.45,NA,9.37,0.19,2,10.01
"66",2018-03-03 17:00:00,0,28.24,30.43,20.99,0.65,NA,8.63,0.19,0,10.01
"67",2018-03-03 18:00:00,0,26.32,27.91,20.99,0.73,NA,6.52,0.39,0,10.01
"68",2018-03-03 19:00:00,0,24.23,24.72,19.99,0.77,NA,6.2,0.19,0,10.01
"69",2018-03-03 20:00:00,0,26.24,26.47,17.69,0.59,NA,1.51,0.19,0,10.01
"70",2018-03-03 21:00:00,0,25.23,25.43,17.41,0.62,NA,2.95,0.39,0,10.01
"71",2018-03-03 22:00:00,0,23.63,23.87,17.77,0.7,NA,8.87,0.75,0,10.01
"72",2018-03-03 23:00:00,0,22.64,22.84,17.32,0.72,NA,8.05,0.44,0,10.01
"73",2018-03-04 00:00:00,0,22.24,22.39,16.92,0.72,NA,5.62,0.19,0,10.01
"74",2018-03-04 01:00:00,0,22.87,22.99,16.59,0.68,NA,4.8,0.19,0,10.01
"75",2018-03-04 02:00:00,0,22.51,22.6,16.38,0.68,NA,3.67,NA,0,10.01
"76",2018-03-04 03:00:00,0,21.46,21.54,16.25,0.72,NA,2.17,NA,0,10.01
"77",2018-03-04 04:00:00,0,21.46,21.48,15.67,0.7,NA,5.25,NA,0,10.01
"78",2018-03-04 05:00:00,0,21.07,21.07,15.41,0.7,NA,2.88,NA,0,10.01
"79",2018-03-04 06:00:00,0,19.23,19.23,14.08,0.72,NA,9.85,NA,0,10.01
"80",2018-03-04 07:00:00,0,20.63,20.63,14.47,0.68,NA,7.24,NA,NA,10.01
"81",2018-03-04 08:00:00,0,24.09,24.09,13.98,0.53,NA,10.12,NA,NA,10.01
"82",2018-03-04 09:00:00,0,25.78,25.78,10.98,0.4,NA,17.62,NA,NA,10.01
"83",2018-03-04 10:00:00,0,27.22,27.22,11.98,0.39,NA,21.03,NA,NA,10.01
"84",2018-03-04 11:00:00,0,28.24,28.24,10.97,0.34,NA,10.56,NA,NA,10.01
"85",2018-03-04 12:00:00,0,30.23,30.23,10.97,0.31,NA,12.2,NA,NA,10.01
"86",2018-03-04 13:00:00,0,30.62,30.62,13.28,0.35,NA,9.45,NA,NA,10.01
"87",2018-03-04 14:00:00,0,30.62,30.62,13.88,0.36,NA,2.57,NA,NA,10.01
"88",2018-03-04 15:00:00,0,30.77,30.77,14.38,0.37,NA,6.5,NA,NA,10.01
"89",2018-03-04 16:00:00,0,31.24,31.24,15.37,0.38,NA,11.41,NA,NA,10.01
"90",2018-03-04 17:00:00,0,28.24,29.28,18.44,0.55,NA,11.2,NA,NA,10.01
"91",2018-03-04 18:00:00,0,25.23,25.56,18.71,0.67,NA,8.03,0.25,0,10.01
"92",2018-03-04 19:00:00,0,24.23,24.59,18.95,0.72,NA,3.27,NA,0,10.01
"93",2018-03-04 20:00:00,0,23.22,23.57,18.59,0.75,NA,0.34,NA,0,10.01
"94",2018-03-04 21:00:00,0,22.64,22.93,18.07,0.75,NA,0.8,0.38,0,10.01
"95",2018-03-04 22:00:00,0,22.24,22.53,17.99,0.77,NA,0,NA,0,10.01
"96",2018-03-04 23:00:00,0,22.24,22.53,17.99,0.77,NA,0.72,NA,0,10.01
"97",2018-03-05 00:00:00,0,21.24,21.55,17.99,0.82,NA,3.4,0.5,0,10.01
"98",2018-03-05 01:00:00,0,21.08,21.33,17.46,0.8,NA,3.28,NA,0,10.01
"99",2018-03-05 02:00:00,0,20.01,20.18,16.65,0.81,NA,0,NA,0,10.01
"100",2018-03-05 03:00:00,0,18.61,18.83,16.66,0.88,NA,0,NA,0,10.01
"101",2018-03-05 04:00:00,0,18.59,18.69,15.73,0.83,NA,2.64,NA,0,10.01
"102",2018-03-05 05:00:00,0,18.93,18.97,15.48,0.8,NA,1.11,NA,0,10.01
"103",2018-03-05 06:00:00,0,20.23,20.31,15.99,0.77,NA,3.4,NA,0,10.01
"104",2018-03-05 07:00:00,0,19.67,19.78,16.12,0.8,NA,5.41,NA,NA,10.01
"105",2018-03-05 08:00:00,0,22.44,22.57,16.7,0.7,NA,10.75,NA,NA,10.01
"106",2018-03-05 09:00:00,0,24.66,24.71,15.99,0.59,NA,15.9,NA,NA,10.01
"107",2018-03-05 10:00:00,0,26.89,27.21,14.98,0.48,NA,13.94,NA,NA,10.01
"108",2018-03-05 11:00:00,0,28.24,28.24,13.56,0.41,NA,9.37,NA,NA,10.01
"109",2018-03-05 12:00:00,0,30.23,30.23,13.15,0.35,NA,9.95,NA,NA,10.01
"110",2018-03-05 13:00:00,0,29.66,29.66,13.77,0.38,NA,11.15,NA,NA,10.01
"111",2018-03-05 14:00:00,0,31.33,31.33,13.67,0.34,NA,12.96,NA,NA,10.01
"112",2018-03-05 15:00:00,0,31.24,31.24,14.97,0.37,NA,16.22,NA,NA,10.01
