"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-04-01 00:00:00,0,23.31,23.61,18.27,0.73,NA,6.36,NA,0,10.01
"2",2018-04-01 01:00:00,0,23.91,23.97,16.12,0.62,NA,0.71,NA,0,10.01
"3",2018-04-01 02:00:00,0,22.44,22.47,15.83,0.66,NA,0.84,NA,0,10.01
"4",2018-04-01 03:00:00,0,22.81,22.81,15.32,0.63,NA,3.6,NA,0,10.01
"5",2018-04-01 04:00:00,0,22.81,22.81,15.32,0.63,NA,1.56,NA,0,10.01
"6",2018-04-01 05:00:00,0,21.88,21.88,15.32,0.66,NA,1.74,NA,0,10.01
"7",2018-04-01 06:00:00,0,20.23,20.23,14.98,0.72,NA,0.32,0.38,0,10.01
"8",2018-04-01 07:00:00,0,21.81,21.81,15.09,0.66,NA,3.09,NA,NA,10.01
"9",2018-04-01 08:00:00,0,24.29,24.3,15.59,0.58,NA,4.92,NA,NA,10.01
"10",2018-04-01 09:00:00,0,26.25,26.25,13.59,0.46,NA,11.8,NA,NA,10.01
"11",2018-04-01 10:00:00,0,27.91,27.91,13.36,0.41,NA,11.22,NA,NA,10.01
"12",2018-04-01 11:00:00,0,30.14,30.14,13.67,0.37,NA,6.16,NA,NA,10.01
"13",2018-04-01 12:00:00,0,31.73,31.73,13.13,0.32,NA,8.03,NA,NA,10.01
"14",2018-04-01 13:00:00,0,31.74,31.74,12.92,0.32,NA,9.66,NA,NA,10.01
"15",2018-04-01 14:00:00,0,31.82,31.82,11.54,0.29,NA,4.65,NA,NA,10.01
"16",2018-04-01 15:00:00,0,31.53,31.53,13.91,0.34,NA,5.18,0.19,5,10.01
"17",2018-04-01 16:00:00,0,29.17,30.59,19.23,0.55,NA,8.24,0.19,2,10.01
"18",2018-04-01 17:00:00,0,27.32,28.74,19.62,0.63,NA,7.74,0.19,1,10.01
"19",2018-04-01 18:00:00,0,25.36,25.87,20.32,0.74,NA,8.37,0.26,0,10.01
"20",2018-04-01 19:00:00,0,24.36,24.98,21.02,0.82,NA,6.68,0.36,0,10.01
"21",2018-04-01 20:00:00,0,23.38,24.02,20.93,0.86,NA,4.8,0.44,0,10.01
"22",2018-04-01 21:00:00,0,23.12,23.75,20.77,0.87,NA,1.8,0.39,0,10.01
"23",2018-04-01 22:00:00,0,23.12,23.77,20.92,0.87,NA,1.21,0.44,0,10.01
"24",2018-04-01 23:00:00,0,22.51,23.15,20.67,0.89,NA,0,0.44,0,10.01
"25",2018-04-02 00:00:00,0,22.51,23.11,20.41,0.88,NA,0.63,0.4,0,10.01
"26",2018-04-02 01:00:00,0,22.64,23.12,19.53,0.83,NA,0,0.44,0,9.99
"27",2018-04-02 02:00:00,0,22.64,23.05,18.98,0.8,NA,0,NA,0,10.01
"28",2018-04-02 03:00:00,0,21.63,21.93,17.94,0.8,NA,0,NA,0,10.01
"29",2018-04-02 04:00:00,0,21.63,21.93,17.94,0.8,NA,0,0.44,0,10.01
"30",2018-04-02 05:00:00,0,20.77,21.04,17.58,0.82,NA,0,NA,0,10.01
"31",2018-04-02 06:00:00,0,21.36,21.55,17.09,0.77,NA,0,0.88,0,10.01
"32",2018-04-02 07:00:00,0,21.46,21.6,16.71,0.74,NA,2.01,0.19,1,10.01
"33",2018-04-02 08:00:00,0,24.17,24.29,16.78,0.63,NA,2.59,0.19,2,10.01
"34",2018-04-02 09:00:00,0,25.97,26.07,16.39,0.56,NA,2.75,0.14,5,10.01
"35",2018-04-02 10:00:00,0,28.37,28.78,16.62,0.49,NA,4.76,0.19,8,10.01
"36",2018-04-02 11:00:00,0,30,30.52,17.26,0.46,NA,2.01,0.19,10,10.01
"37",2018-04-02 12:00:00,0,30.78,30.78,15.86,0.41,NA,3.83,0.23,10,10.01
"38",2018-04-02 13:00:00,0,32.07,32.07,15.42,0.37,NA,9.24,0.19,10,10.01
"39",2018-04-02 14:00:00,0,30.27,32.28,20.11,0.55,NA,13.47,0.19,8,10.01
"40",2018-04-02 15:00:00,0,28.38,30.94,21.58,0.67,NA,10.22,0.26,5,10.01
"41",2018-04-02 16:00:00,0,27.04,29.01,21.32,0.71,NA,10.49,0.26,2,10.01
"42",2018-04-02 17:00:00,0,25.64,26.22,20.84,0.75,NA,10.62,0.44,1,10.01
"43",2018-04-02 18:00:00,0,24.53,25.02,20.06,0.76,NA,9.7,0.26,0,10.01
"44",2018-04-02 19:00:00,0,23.35,23.87,19.99,0.81,NA,5.86,0.26,0,10.01
"45",2018-04-02 20:00:00,0,23.28,23.77,19.73,0.8,NA,2.53,0.26,0,10.01
"46",2018-04-02 21:00:00,0,23.12,23.63,19.89,0.82,NA,2.01,0.19,0,10.01
"47",2018-04-02 22:00:00,0,23.12,23.73,20.66,0.86,NA,0.77,0.19,0,10.01
"48",2018-04-02 23:00:00,0,23.12,23.73,20.65,0.86,NA,0.53,0.44,0,10.01
"49",2018-04-03 00:00:00,0,23.12,23.73,20.6,0.86,NA,0,0.19,0,10.01
"50",2018-04-03 01:00:00,0,22.44,22.91,19.39,0.83,NA,1.26,0.19,0,10.01
"51",2018-04-03 02:00:00,0,21.88,22.39,19.53,0.87,NA,1.54,0.19,0,10.01
"52",2018-04-03 03:00:00,0,23,23.28,18.1,0.74,NA,0.77,0.19,0,10.01
"53",2018-04-03 04:00:00,0,22.81,23.28,19.57,0.82,NA,1.54,0.19,0,10.01
"54",2018-04-03 05:00:00,0,22.25,22.74,19.58,0.85,NA,0,0.19,0,10.01
"55",2018-04-03 06:00:00,0,21.46,21.98,19.57,0.89,NA,1.61,0.19,0,10.01
"56",2018-04-03 07:00:00,0,22.33,22.88,19.96,0.86,NA,2.9,0.44,1,8.63
"57",2018-04-03 08:00:00,0,24.42,25.02,20.78,0.8,NA,1.01,0.44,2,9.3
"58",2018-04-03 09:00:00,0,25.52,26.11,20.93,0.76,NA,4.65,0.65,4,9.3
"59",2018-04-03 10:00:00,0,23.92,24.44,20.11,0.79,NA,2.2,0.58,6,9.3
"60",2018-04-03 11:00:00,0,27.87,29.78,20.59,0.65,NA,4.41,0.58,7,10.01
"61",2018-04-03 12:00:00,0,27.76,29.58,20.44,0.65,NA,3.36,0.58,8,10.01
"62",2018-04-03 13:00:00,0,28.06,29.94,20.46,0.63,NA,2.53,0.58,7,10.01
"63",2018-04-03 14:00:00,0,26.99,28.75,20.76,0.69,NA,1.93,0.58,6,10.01
"64",2018-04-03 15:00:00,0,27.04,28.92,21.07,0.7,NA,8.61,0.58,4,10.01
"65",2018-04-03 16:00:00,0,27.42,29.37,20.98,0.68,NA,9.25,0.19,2,10.01
"66",2018-04-03 17:00:00,0,26.36,28.07,21.43,0.74,NA,6.2,0.19,1,10.01
"67",2018-04-03 18:00:00,0,25.14,25.77,21.21,0.79,NA,4.15,0.25,0,10.01
"68",2018-04-03 19:00:00,0,24.04,24.65,20.85,0.82,NA,3.99,NA,0,10.01
"69",2018-04-03 20:00:00,0,23.21,23.74,20.07,0.83,NA,3.52,NA,0,10.01
"70",2018-04-03 21:00:00,0,23.48,23.83,18.72,0.75,NA,0.37,NA,0,10.01
"71",2018-04-03 22:00:00,0,22.87,23.13,17.88,0.74,NA,1.71,NA,0,10.01
"72",2018-04-03 23:00:00,0,22.62,23.04,19.14,0.81,NA,0.98,NA,0,10.01
"73",2018-04-04 00:00:00,0,22.05,22.4,18.46,0.8,NA,1.22,NA,0,10.01
"74",2018-04-04 01:00:00,0,20.77,21.07,17.75,0.83,NA,0,NA,0,10.01
