"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-05-01 00:00:00,0,22.24,22.94,20.98,0.93,NA,1.96,0.19,0,10.01
"2",2018-05-01 01:00:00,0,22.25,22.95,21,0.93,NA,0,0.44,0,10.01
"3",2018-05-01 02:00:00,0,21.69,22.36,20.62,0.94,NA,0,0.44,0,10.01
"4",2018-05-01 03:00:00,0,21.33,21.93,20.06,0.92,NA,0,0.19,0,10.01
"5",2018-05-01 04:00:00,0,21.13,21.74,20.06,0.94,NA,0,0.44,0,10.01
"6",2018-05-01 05:00:00,0,21.13,21.74,20.06,0.94,NA,0,0.19,0,10.01
"7",2018-05-01 06:00:00,0,21.19,21.79,20.03,0.93,NA,1.61,0.19,0,10.01
"8",2018-05-01 07:00:00,0,22.63,23.31,20.99,0.9,NA,3.86,NA,NA,10.01
"9",2018-05-01 08:00:00,0,24.34,25.06,21.68,0.85,NA,6,NA,NA,10.01
"10",2018-05-01 09:00:00,0,26.51,28.57,22.41,0.78,NA,2.95,0.88,4,10.01
"11",2018-05-01 10:00:00,0,28.16,30.53,21.38,0.67,NA,0.1,0.19,8,10.01
"12",2018-05-01 11:00:00,0,28.94,31.67,21.6,0.65,NA,2.46,0.19,10,10.01
"13",2018-05-01 12:00:00,0,29.68,32.71,21.73,0.62,NA,2.01,0.19,11,10.01
"14",2018-05-01 13:00:00,0,30.47,33.22,21.13,0.58,NA,3.23,0.19,10,10.01
"15",2018-05-01 14:00:00,0,30.73,34.49,22.29,0.61,NA,4.2,0.19,8,10.01
"16",2018-05-01 15:00:00,0,29.43,34.25,23.98,0.73,NA,6.58,0.19,5,10.01
"17",2018-05-01 16:00:00,0,28.38,32.13,23.39,0.74,NA,4.81,0.19,2,10.01
"18",2018-05-01 17:00:00,0,27.32,29.94,22.54,0.75,NA,4.6,0.19,1,10.01
"19",2018-05-01 18:00:00,0,25.73,26.58,22.99,0.85,NA,2.67,0.19,0,10.01
"20",2018-05-01 19:00:00,0,24.42,25.27,22.65,0.9,NA,2.17,0.44,0,10.01
"21",2018-05-01 20:00:00,0,24.68,25.5,22.58,0.88,NA,0,0.44,0,10.01
"22",2018-05-01 21:00:00,0,24.87,25.63,22.14,0.85,NA,0,0.75,0,10.01
"23",2018-05-01 22:00:00,0,25.48,26.11,21.25,0.77,NA,0,0.75,0,10.01
"24",2018-05-01 23:00:00,0,24.35,25.15,22.32,0.89,NA,0,0.75,0,10.01
"25",2018-05-02 00:00:00,0,24.34,25.12,22.16,0.88,NA,0.23,0.5,0,10.01
"26",2018-05-02 01:00:00,0,23.56,24.28,21.58,0.89,NA,0,NA,0,10.01
"27",2018-05-02 02:00:00,0,23,23.67,21,0.89,NA,0,NA,0,10.01
"28",2018-05-02 03:00:00,0,22.44,23.13,21,0.92,NA,0,NA,0,10.01
"29",2018-05-02 04:00:00,0,21.88,22.66,21.38,0.97,NA,0,NA,0,10.01
"30",2018-05-02 05:00:00,0,22.25,22.92,20.78,0.91,NA,0,NA,0,10.01
"31",2018-05-02 06:00:00,0,21.39,22.14,21.1,0.98,NA,0,NA,NA,10.01
"32",2018-05-02 07:00:00,0,23.82,24.57,21.8,0.88,NA,1.22,NA,NA,10.01
"33",2018-05-02 08:00:00,0,26.67,28.73,22.11,0.76,NA,3.57,NA,NA,10.01
"34",2018-05-02 09:00:00,0,27.91,30.65,22.2,0.71,NA,6.44,0.13,6,10.01
"35",2018-05-02 10:00:00,0,28.58,31.64,22.28,0.69,NA,3.94,0.19,8,10.01
"36",2018-05-02 11:00:00,0,29.72,33.11,22.21,0.64,NA,3.89,0.44,8,10.01
"37",2018-05-02 12:00:00,0,30.78,34.53,22.27,0.61,NA,5.12,0.36,9,10.01
"38",2018-05-02 13:00:00,0,31.78,35.58,22.04,0.56,NA,5.05,0.36,9,10.01
"39",2018-05-02 14:00:00,0,32.07,35.89,21.98,0.55,NA,10.72,0.19,8,10.01
"40",2018-05-02 15:00:00,0,30.95,35.72,23.28,0.64,NA,7.93,0.19,5,10.01
"41",2018-05-02 16:00:00,0,29.17,33.51,23.59,0.72,NA,8.64,0.19,2,10.01
"42",2018-05-02 17:00:00,0,27.51,30.68,23.36,0.78,NA,6.49,0.19,1,10.01
"43",2018-05-02 18:00:00,0,26.36,28.55,23.2,0.83,NA,6.34,0.19,0,10.01
"44",2018-05-02 19:00:00,0,24.97,25.83,22.93,0.88,NA,3.23,0.19,0,10.01
"45",2018-05-02 20:00:00,0.2972,24.34,25.19,22.68,0.9,NA,2.43,0.19,0,10.01
"46",2018-05-02 21:00:00,0,24.86,25.67,22.56,0.87,NA,0.74,0.19,0,10.01
"47",2018-05-02 22:00:00,0,24,24.89,22.81,0.93,NA,2,0.19,0,10.01
"48",2018-05-02 23:00:00,0,24.29,25.1,22.36,0.89,NA,2.12,0.19,0,10.01
"49",2018-05-03 00:00:00,0,23.74,24.53,22.03,0.9,NA,2.48,0.19,0,10.01
"50",2018-05-03 01:00:00,0,23.34,24.09,21.67,0.9,NA,0,NA,0,10.01
"51",2018-05-03 02:00:00,0,23,23.75,21.59,0.92,NA,0,0.19,0,10.01
"52",2018-05-03 03:00:00,0,23,23.72,21.41,0.91,NA,0,0.19,0,10.01
"53",2018-05-03 04:00:00,0,22.44,23.14,21.11,0.92,NA,0,0.75,0,10.01
"54",2018-05-03 05:00:00,0,22.64,23.28,20.67,0.89,NA,0,0.44,0,10.01
"55",2018-05-03 06:00:00,0,22.24,22.81,20.12,0.88,NA,5.41,0.44,0,10.01
"56",2018-05-03 07:00:00,0,23.34,23.91,20.3,0.83,NA,0,0.26,1,10.01
"57",2018-05-03 08:00:00,0,24.86,25.43,20.69,0.78,NA,1.54,0.19,3,10.01
"58",2018-05-03 09:00:00,0,27.37,29.32,20.99,0.68,NA,4.97,0.19,6,10.01
"59",2018-05-03 10:00:00,0,28.77,31.22,21.24,0.64,NA,5.05,0.19,8,10.01
"60",2018-05-03 11:00:00,0,28.93,31.76,21.76,0.65,NA,1.61,0.26,10,10.01
"61",2018-05-03 12:00:00,0,29.43,32.5,21.88,0.64,NA,1.54,0.44,9,10.01
"62",2018-05-03 13:00:00,0,30.47,33.87,21.94,0.6,NA,1.64,0.36,9,10.01
"63",2018-05-03 14:00:00,0,32.07,36.01,22.11,0.56,NA,2.3,0.19,8,10.01
"64",2018-05-03 15:00:00,0,31.53,37.21,23.92,0.64,NA,5.54,0.19,5,10.01
"65",2018-05-03 16:00:00,0,30.23,35.33,23.88,0.69,NA,6.08,0.44,2,10.01
"66",2018-05-03 17:00:00,0,30.22,36.54,24.98,0.74,NA,3.23,0.44,1,10.01
"67",2018-05-03 18:00:00,0,27.43,31.01,24.15,0.82,NA,3.22,0.75,0,10.01
"68",2018-05-03 19:00:00,0,26.28,28.58,23.89,0.87,NA,4.38,0.26,0,7.24
