"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-06-01 00:00:00,NA,21.36,22.16,21.3,1,NA,8.56,0.26,0,10.01
"2",2018-06-01 01:00:00,NA,21.59,22.42,21.59,1,NA,12.96,0.19,0,10.01
"3",2018-06-01 02:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.19,0,10.01
"4",2018-06-01 03:00:00,NA,21.59,22.33,21.01,0.96,NA,11.15,0.19,0,10.01
"5",2018-06-01 04:00:00,NA,20.59,21.32,20.59,1,NA,5.41,0.19,0,10.01
"6",2018-06-01 05:00:00,NA,20.59,21.32,20.59,1,NA,5.41,0.19,0,10.01
"7",2018-06-01 06:00:00,NA,20.77,21.52,20.77,1,NA,4.3,0.19,0,10.01
"8",2018-06-01 07:00:00,NA,21.36,22.09,20.88,0.97,NA,5.41,0.19,1,10.01
"9",2018-06-01 08:00:00,NA,22.66,23.42,21.59,0.94,NA,4.49,0.19,3,10.01
"10",2018-06-01 09:00:00,NA,25.07,25.84,22.29,0.85,NA,3.41,0.19,5,10.01
"11",2018-06-01 10:00:00,NA,26.07,27.77,22.17,0.79,NA,7.55,0.19,8,10.01
"12",2018-06-01 11:00:00,NA,26.66,28.79,22.29,0.77,NA,6.58,0.19,10,10.01
"13",2018-06-01 12:00:00,NA,27.36,30.17,22.88,0.77,NA,5.71,0.19,10,10.01
"14",2018-06-01 13:00:00,NA,28.67,31.3,21.57,0.66,NA,5.41,0.36,8,10.01
"15",2018-06-01 14:00:00,NA,28.78,32.34,22.87,0.71,NA,5.81,0.36,7,10.01
"16",2018-06-01 15:00:00,NA,28.37,31.28,22.16,0.69,NA,7.92,0.36,5,10.01
"17",2018-06-01 16:00:00,NA,27.78,30.44,22.17,0.72,NA,4.78,0.19,2,10.01
"18",2018-06-01 17:00:00,NA,27.78,30.07,21.46,0.69,NA,2.72,0.19,1,10.01
"19",2018-06-01 18:00:00,NA,27.49,30.38,22.87,0.76,NA,2.22,0.19,0,10.01
"20",2018-06-01 19:00:00,NA,25.78,26.61,22.88,0.84,NA,3.6,0.19,0,10.01
"21",2018-06-01 20:00:00,NA,25.78,27.44,23.58,0.88,NA,4.7,0.19,0,10.01
"22",2018-06-01 21:00:00,NA,24.77,25.63,22.88,0.89,NA,11.15,0.44,0,10.01
"23",2018-06-01 22:00:00,NA,24.77,25.63,22.88,0.89,NA,8.74,0.44,0,10.01
"24",2018-06-01 23:00:00,NA,23.77,24.72,23.18,0.97,NA,9.37,0.44,0,10.01
"25",2018-06-02 00:00:00,NA,23.77,24.68,22.88,0.95,NA,6.61,0.44,0,10.01
"26",2018-06-02 03:00:00,NA,21.59,22.42,21.59,1,NA,7.55,0.44,0,10.01
"27",2018-06-02 06:00:00,NA,22.07,22.87,21.59,0.97,NA,11.15,0.19,0,10.01
"28",2018-06-02 07:00:00,NA,23.36,24.13,21.88,0.91,NA,11.15,0.19,1,10.01
"29",2018-06-02 08:00:00,NA,24.94,25.72,22.29,0.85,NA,9.9,0.19,3,10.01
"30",2018-06-02 09:00:00,NA,26.96,29.09,21.87,0.74,NA,6.52,0.19,5,10.01
"31",2018-06-02 10:00:00,NA,28.37,30.52,20.87,0.64,NA,4.14,0.26,8,10.01
"32",2018-06-02 11:00:00,NA,28.67,30.66,20.45,0.61,NA,9.37,0.66,7,10.01
"33",2018-06-02 12:00:00,NA,29.37,31.92,21.16,0.61,NA,6,0.66,7,10.01
"34",2018-06-02 13:00:00,NA,29.07,31.74,21.45,0.64,NA,7.63,0.26,9,10.01
"35",2018-06-02 14:00:00,NA,28.78,30.96,20.75,0.62,NA,10.93,0.36,7,10.01
"36",2018-06-02 15:00:00,NA,24.06,24.6,20.29,0.8,NA,12.42,0.6,4,5.68
"37",2018-06-02 16:00:00,NA,21.27,21.66,18.58,0.85,NA,8.53,0.43,2,10.01
"38",2018-06-02 17:00:00,NA,20.77,21.23,18.88,0.89,NA,4.41,0.19,1,10.01
"39",2018-06-02 18:00:00,NA,21.48,22.22,21.01,0.97,NA,5.68,0.19,0,10.01
"40",2018-06-02 19:00:00,NA,22.07,22.87,21.59,0.97,NA,2.75,0.19,0,10.01
"41",2018-06-02 20:00:00,NA,22.07,22.87,21.59,0.97,NA,4.3,0.19,0,10.01
