"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-07-01 00:00:00,NA,23.07,24.03,22.99,1,NA,4.41,0.44,0,10.01
"2",2018-07-01 01:00:00,NA,22.61,23.53,22.61,1,NA,11.15,0.19,0,10.01
"3",2018-07-01 02:00:00,NA,21.59,22.42,21.59,1,NA,5.41,0.44,0,10.01
"4",2018-07-01 03:00:00,NA,22.61,23.44,22.01,0.96,NA,5.41,0.44,0,10.01
"5",2018-07-01 04:00:00,NA,21.59,22.42,21.59,1,NA,7.55,0.44,0,10.01
"6",2018-07-01 05:00:00,NA,21.59,22.42,21.59,1,NA,5.41,0.19,0,10.01
"7",2018-07-01 06:00:00,NA,21.07,21.81,20.88,0.99,NA,3.64,0.19,0,10.01
"8",2018-07-01 07:00:00,NA,23.07,24.03,22.99,1,NA,1.27,0.19,1,10.01
"9",2018-07-01 08:00:00,NA,24.94,25.68,22,0.84,NA,6.74,0.19,3,10.01
"10",2018-07-01 09:00:00,NA,25.65,26.5,22.99,0.85,NA,7.44,0.19,5,10.01
"11",2018-07-01 10:00:00,NA,28.37,31.62,22.69,0.71,NA,7.55,0.26,7,10.01
"12",2018-07-01 11:00:00,NA,28.67,30.56,20.28,0.61,NA,2.43,0.19,10,10.01
"13",2018-07-01 12:00:00,NA,28.95,30.89,20.28,0.6,NA,9.83,0.19,10,10.01
"14",2018-07-01 13:00:00,NA,30.36,32.89,20.86,0.57,NA,8.63,0.19,10,10.01
"15",2018-07-01 14:00:00,NA,30.07,32.09,20.16,0.55,NA,12.57,0.26,7,10.01
"16",2018-07-01 15:00:00,NA,30.49,33.04,20.86,0.57,NA,12.75,0.19,5,10.01
"17",2018-07-01 16:00:00,NA,29.37,33.52,23.27,0.7,NA,11.12,0.19,3,10.01
"18",2018-07-01 17:00:00,NA,27.36,29.74,21.99,0.73,NA,7.53,0.19,1,10.01
"19",2018-07-01 18:00:00,NA,26.37,28.58,23.28,0.83,NA,4.59,0.26,0,10.01
"20",2018-07-01 19:00:00,NA,25.07,26.02,23.58,0.91,NA,4.33,0.26,0,10.01
"21",2018-07-01 20:00:00,NA,24.36,25.14,22.17,0.88,NA,7.55,0.44,0,10.01
"22",2018-07-01 21:00:00,NA,24.36,25.04,21.46,0.84,NA,8.45,0.44,0,10.01
