"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-08-01 00:00:00,NA,22.04,22.91,22.04,1,NA,7.98,0.19,0,10.01
"2",2018-08-01 01:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.19,0,10.01
"3",2018-08-01 02:00:00,NA,21.59,22.42,21.59,1,NA,9.37,NA,0,10.01
"4",2018-08-01 04:00:00,NA,21.59,22.42,21.59,1,NA,11.15,NA,0,10.01
"5",2018-08-01 05:00:00,NA,21.59,22.42,21.59,1,NA,14.77,0.19,0,10.01
"6",2018-08-01 06:00:00,NA,20.34,21.04,20.34,1,NA,7.64,0.19,0,10.01
"7",2018-08-01 07:00:00,NA,21.34,22.08,20.91,0.97,NA,2.78,0.19,1,10.01
"8",2018-08-01 08:00:00,NA,24.34,25.24,22.99,0.92,NA,6.52,0.19,2,10.01
"9",2018-08-01 09:00:00,NA,26.26,28.29,22.98,0.82,NA,5.34,0.19,5,10.01
"10",2018-08-01 10:00:00,NA,27.95,31.43,23.38,0.76,NA,7.55,0.19,8,10.01
"11",2018-08-01 11:00:00,NA,28.96,31.55,21.38,0.64,NA,9.8,0.36,9,10.01
"12",2018-08-01 12:00:00,NA,29.27,32.82,22.6,0.67,NA,11.15,0.44,9,10.01
"13",2018-08-01 13:00:00,NA,30.34,32.63,20.51,0.56,NA,10.04,0.44,8,10.01
"14",2018-08-01 14:00:00,NA,30.74,33.37,20.89,0.56,NA,4.96,0.65,6,10.01
"15",2018-08-01 15:00:00,NA,30.74,33.37,20.89,0.56,NA,10.65,0.44,5,10.01
"16",2018-08-01 16:00:00,NA,31.13,34.99,22.29,0.59,NA,10.36,0.19,3,10.01
"17",2018-08-01 17:00:00,NA,29.73,32.67,21.59,0.62,NA,9.01,0.19,1,10.01
"18",2018-08-01 18:00:00,NA,27.34,30.36,23.29,0.79,NA,8.69,0.44,0,10.01
"19",2018-08-01 19:00:00,NA,21.43,22.22,21.31,0.99,NA,20.18,0.53,0,6.23
"20",2018-08-01 20:00:00,NA,21.04,21.81,21.04,1,NA,3.27,0.26,0,10.01
"21",2018-08-01 21:00:00,NA,21.73,22.58,21.73,1,NA,6.55,0.26,0,10.01
"22",2018-08-01 22:00:00,NA,21.73,22.56,21.61,0.99,NA,7.05,0.26,0,10.01
"23",2018-08-01 23:00:00,NA,21.73,22.58,21.73,1,NA,3.62,0.19,0,10.01
"24",2018-08-02 00:00:00,NA,21.04,21.81,21.04,1,NA,5.41,0.19,0,10.01
"25",2018-08-02 01:00:00,NA,20.59,21.32,20.59,1,NA,NA,0.19,0,10.01
"26",2018-08-02 02:00:00,NA,20.59,21.32,20.59,1,NA,5.41,NA,0,10.01
"27",2018-08-02 03:00:00,NA,21.59,22.42,21.59,1,NA,7.55,NA,0,10.01
"28",2018-08-02 04:00:00,NA,20.59,21.32,20.59,1,NA,5.41,NA,0,10.01
"29",2018-08-02 05:00:00,NA,19.59,20.22,19.59,1,NA,9.37,NA,0,10.01
"30",2018-08-02 06:00:00,NA,20.04,20.71,20.04,1,NA,7.55,NA,NA,10.01
"31",2018-08-02 07:00:00,NA,21.34,22.15,21.34,1,NA,5.2,NA,NA,10.01
"32",2018-08-02 08:00:00,NA,24.03,24.89,22.61,0.92,NA,10.65,NA,NA,10.01
"33",2018-08-02 09:00:00,NA,25.64,26.46,22.68,0.84,NA,11.89,0.19,5,10.01
"34",2018-08-02 10:00:00,NA,27.64,30.01,21.69,0.7,NA,11.8,0.19,8,10.01
"35",2018-08-02 11:00:00,NA,28.66,30.77,20.68,0.62,NA,4.73,0.19,10,10.01
"36",2018-08-02 12:00:00,NA,28.96,31.31,20.99,0.62,NA,5.65,0.26,10,10.01
"37",2018-08-02 13:00:00,NA,30.04,31.9,19.9,0.55,NA,10.62,0.26,9,10.01
"38",2018-08-02 14:00:00,NA,30.04,31.9,19.9,0.55,NA,9.66,0.26,8,10.01
"39",2018-08-02 15:00:00,NA,29.61,33.6,22.98,0.68,NA,12.96,0.19,5,10.01
"40",2018-08-02 16:00:00,NA,29.73,31.74,20.2,0.57,NA,8.1,0.19,3,10.01
"41",2018-08-02 17:00:00,NA,29.43,31.39,20.2,0.58,NA,11.06,0.19,1,10.01
"42",2018-08-02 18:00:00,NA,27.03,29.68,22.98,0.79,NA,5.97,0.19,0,10.01
"43",2018-08-02 19:00:00,NA,25.04,26.05,23.99,0.94,NA,4.84,0.19,0,10.01
