"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-09-01 00:00:00,NA,19.65,20.28,19.65,1,NA,12.6,0.65,0,4.44
"2",2018-09-01 01:00:00,NA,20.59,21.32,20.59,1,NA,16.56,0.44,0,10.01
"3",2018-09-01 02:00:00,NA,20.59,21.32,20.59,1,NA,16.56,0.44,0,10.01
"4",2018-09-01 03:00:00,NA,20.59,21.32,20.59,1,NA,14.77,0.19,0,10.01
"5",2018-09-01 04:00:00,NA,20.59,21.32,20.59,1,NA,14.77,0.19,0,10.01
"6",2018-09-01 05:00:00,NA,20.59,21.22,20,0.96,NA,12.96,0.19,0,10.01
"7",2018-09-01 06:00:00,NA,19.34,19.94,19.34,1,NA,8.21,0.44,0,10.01
"8",2018-09-01 07:00:00,NA,19.65,20.28,19.65,1,NA,7.23,0.19,1,10.01
"9",2018-09-01 08:00:00,NA,21.96,22.51,19.92,0.88,NA,10.46,0.19,3,10.01
"10",2018-09-01 09:00:00,NA,24.95,25.54,20.91,0.78,NA,11.15,0.19,5,10.01
"11",2018-09-01 10:00:00,NA,26.26,27.88,21.3,0.74,NA,11.15,0.19,8,10.01
"12",2018-09-01 11:00:00,NA,26.96,29.27,22.3,0.76,NA,NA,NA,NA,NA
"13",2018-09-01 12:00:00,NA,28.74,31.61,21.9,0.67,NA,9.85,0.19,11,10.01
"14",2018-09-01 13:00:00,NA,28.05,30.9,22.29,0.71,NA,9.91,0.19,10,10.01
"15",2018-09-01 14:00:00,NA,28.74,32.14,22.68,0.7,NA,10.99,0.19,8,10.01
"16",2018-09-01 16:00:00,NA,26.59,28.92,22.98,0.81,NA,8,0.19,2,10.01
"17",2018-09-01 17:00:00,NA,26.73,29.27,23.29,0.82,NA,1.66,0.19,1,10.01
"18",2018-09-01 18:00:00,NA,25.74,26.63,23.29,0.86,NA,5.41,0.19,0,10.01
