"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2018-10-01 00:00:00,NA,22.12,22.99,22.12,1,NA,9.17,0.53,0,9.4
"2",2018-10-01 01:00:00,NA,19.59,20.22,19.59,1,NA,14.77,0.75,0,8
"3",2018-10-01 02:00:00,NA,19.59,20.22,19.59,1,NA,5.41,0.75,0,8
"4",2018-10-01 03:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.75,0,10.01
"5",2018-10-01 04:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.75,0,10.01
"6",2018-10-01 05:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.75,0,10.01
"7",2018-10-01 06:00:00,NA,20.73,21.47,20.73,1,NA,11.31,0.26,0,10.01
"8",2018-10-01 07:00:00,NA,21.73,22.56,21.61,0.99,NA,14.77,0.26,1,10.01
"9",2018-10-01 08:00:00,NA,23.33,24.12,21.92,0.92,NA,12.96,0.44,2,10.01
"10",2018-10-01 09:00:00,NA,25.64,26.32,21.61,0.78,NA,8.92,0.19,5,10.01
"11",2018-10-01 10:00:00,NA,26.66,28.46,21.3,0.73,NA,11.83,0.19,8,10.01
"12",2018-10-01 11:00:00,NA,27.74,29.58,20.51,0.65,NA,7.79,0.19,9,10.01
"13",2018-10-01 12:00:00,NA,28.74,31.36,21.51,0.65,NA,8.72,0.19,10,10.01
"14",2018-10-01 13:00:00,NA,29.43,32.23,21.51,0.63,NA,6.29,0.19,9,10.01
"15",2018-10-01 14:00:00,NA,28.43,30.74,21.13,0.65,NA,2.17,0.36,6,10.01
"16",2018-10-01 15:00:00,NA,27.44,31.3,24.6,0.85,NA,12.96,0.36,4,10.01
"17",2018-10-01 16:00:00,NA,23.27,24.21,22.92,0.98,NA,11.17,0.61,1,3.4
"18",2018-10-01 17:00:00,NA,22.04,22.84,21.61,0.97,NA,13.92,0.61,0,3.88
"19",2018-10-01 18:00:00,NA,21.43,22.16,20.91,0.97,NA,5.65,0.83,0,10.01
"20",2018-10-01 19:00:00,NA,20.73,21.47,20.73,1,NA,2.46,0.44,0,10.01
"21",2018-10-01 20:00:00,NA,21.04,21.81,21.04,1,NA,0,0.44,0,10.01
"22",2018-10-01 21:00:00,NA,21.04,21.81,21.04,1,NA,2.86,1,0,10.01
"23",2018-10-01 22:00:00,NA,21.04,21.81,21.04,1,NA,0.43,0.19,0,10.01
"24",2018-10-01 23:00:00,NA,20.73,21.47,20.73,1,NA,5.86,0.19,0,10.01
"25",2018-10-02 00:00:00,NA,21.04,21.79,20.92,0.99,NA,2.86,0.19,0,10.01
"26",2018-10-02 01:00:00,NA,19.59,20.22,19.59,1,NA,7.55,0.19,0,10.01
"27",2018-10-02 02:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.19,0,10.01
"28",2018-10-02 04:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.44,0,10.01
"29",2018-10-02 05:00:00,NA,18.61,19.13,18.61,1,NA,NA,0.44,0,10.01
"30",2018-10-02 06:00:00,NA,19.59,20.22,19.59,1,NA,11.15,0.44,0,10.01
"31",2018-10-02 07:00:00,NA,20.73,21.28,19.52,0.93,NA,11.15,NA,NA,10.01
"32",2018-10-02 08:00:00,NA,21.66,22.27,20.22,0.92,NA,20.54,NA,NA,10.01
"33",2018-10-02 09:00:00,NA,23.64,24.32,21.22,0.86,NA,11.54,NA,NA,10.01
"34",2018-10-02 10:00:00,NA,26.35,28.09,21.6,0.75,NA,14.77,NA,NA,10.01
"35",2018-10-02 11:00:00,NA,26.73,28.87,22.22,0.76,NA,4.96,0.19,9,10.01
"36",2018-10-02 12:00:00,NA,27.74,30.8,22.91,0.75,NA,16.56,0.44,8,10.01
"37",2018-10-02 13:00:00,NA,28.43,31.2,21.91,0.68,NA,3.94,0.44,7,10.01
"38",2018-10-02 14:00:00,NA,28.43,30.78,21.21,0.65,NA,5.87,0.58,5,10.01
"39",2018-10-02 15:00:00,NA,28.13,30.79,21.91,0.69,NA,5.66,NA,NA,NA
"40",2018-10-02 16:00:00,NA,26.73,30.13,24.68,0.89,NA,7.16,0.36,1,10.01
"41",2018-10-02 17:00:00,NA,25.04,26.16,24.69,0.98,NA,6.52,0.19,0,10.01
"42",2018-10-02 18:00:00,NA,24.34,25.39,23.99,0.98,NA,7.76,0.19,0,10.01
"43",2018-10-02 19:00:00,NA,23.33,24.33,23.33,1,NA,3.69,0.19,0,10.01
"44",2018-10-02 20:00:00,NA,23.03,24.01,23.03,1,NA,1.66,0.19,0,10.01
"45",2018-10-02 21:00:00,NA,23.03,24.01,23.03,1,NA,6.04,0.26,0,10.01
"46",2018-10-02 22:00:00,NA,22.73,23.67,22.73,1,NA,5.41,0.19,0,10.01
"47",2018-10-02 23:00:00,NA,22.73,23.67,22.73,1,NA,7.55,0.19,0,10.01
"48",2018-10-03 00:00:00,NA,21.73,22.58,21.73,1,NA,5.33,0.19,0,10.01
"49",2018-10-03 01:00:00,NA,21.59,22.42,21.59,1,NA,NA,0.19,0,10.01
"50",2018-10-03 02:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.19,0,NA
"51",2018-10-03 03:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.19,0,10.01
"52",2018-10-03 04:00:00,NA,20.59,21.32,20.59,1,NA,11.15,0.19,0,7
"53",2018-10-03 05:00:00,NA,20.59,21.32,20.59,1,NA,11.15,0.19,0,10.01
"54",2018-10-03 06:00:00,NA,21.04,21.81,21.04,1,NA,9.99,0.19,0,10.01
"55",2018-10-03 07:00:00,NA,21.73,22.58,21.73,1,NA,5.49,0.19,1,10.01
"56",2018-10-03 08:00:00,NA,23.33,24.02,21.22,0.88,NA,6.95,0.19,2,10.01
"57",2018-10-03 09:00:00,NA,24.65,25.33,21.52,0.83,NA,14.77,0.19,5,10.01
"58",2018-10-03 10:00:00,NA,26.04,27.61,21.52,0.76,NA,9.69,0.19,8,10.01
"59",2018-10-03 11:00:00,NA,27.03,29.07,21.52,0.72,NA,10.85,0.26,9,10.01
"60",2018-10-03 12:00:00,NA,27.74,30.05,21.51,0.69,NA,6.26,0.26,9,10.01
"61",2018-10-03 13:00:00,NA,28.74,31.82,22.21,0.68,NA,8.61,0.44,7,10.01
"62",2018-10-03 14:00:00,NA,29.12,32.56,22.52,0.68,NA,10.35,0.19,6,10.01
"63",2018-10-03 15:00:00,NA,28.82,32.66,23.22,0.72,NA,5.21,0.19,4,10.01
"64",2018-10-03 16:00:00,NA,28.13,31.4,22.91,0.73,NA,8.88,0.26,1,10.01
"65",2018-10-03 17:00:00,NA,27.44,30.69,23.59,0.8,NA,10.85,0.44,0,10.01
"66",2018-10-03 18:00:00,NA,26.42,28.46,22.52,0.79,NA,3.44,0.19,0,10.01
"67",2018-10-03 19:00:00,NA,25.04,25.94,23.22,0.9,NA,2.2,0.19,0,10.01
"68",2018-10-03 20:00:00,NA,24.73,25.64,23.23,0.91,NA,3.6,0.19,0,10.01
"69",2018-10-03 21:00:00,NA,24.73,25.64,23.23,0.91,NA,8.14,0.19,0,10.01
"70",2018-10-03 22:00:00,NA,23.73,24.54,22.22,0.91,NA,7.55,0.26,0,10.01
"71",2018-10-03 23:00:00,NA,23.42,24.25,22.22,0.93,NA,7.47,0.26,0,10.01
"72",2018-10-04 00:00:00,NA,23.03,23.99,22.92,0.99,NA,11.15,0.26,0,10.01
"73",2018-10-04 01:00:00,NA,21.59,22.42,21.59,1,NA,9.37,0.75,0,10.01
"74",2018-10-04 02:00:00,NA,21.59,22.42,21.59,1,NA,9.37,0.44,0,10.01
"75",2018-10-04 03:00:00,NA,21.59,22.42,21.59,1,NA,7.55,NA,0,10.01
"76",2018-10-04 04:00:00,NA,20.59,21.32,20.59,1,NA,9.37,0.44,0,10.01
"77",2018-10-04 05:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.19,0,10.01
"78",2018-10-04 06:00:00,NA,21.73,22.39,20.53,0.93,NA,11.15,0.19,0,10.01
"79",2018-10-04 07:00:00,NA,21.73,22.39,20.53,0.93,NA,8.64,0.19,1,10.01
"80",2018-10-04 08:00:00,NA,23.03,23.78,21.52,0.91,NA,7.55,0.44,2,10.01
"81",2018-10-04 09:00:00,NA,23.73,24.54,22.22,0.91,NA,12.96,0.44,5,10.01
"82",2018-10-04 10:00:00,NA,26.04,27.73,22.22,0.8,NA,12.96,0.75,5,10.01
"83",2018-10-04 11:00:00,NA,27.03,29.48,22.52,0.76,NA,6.18,0.19,9,10.01
"84",2018-10-04 12:00:00,NA,27.03,29.96,23.59,0.82,NA,7.87,0.36,9,10.01
"85",2018-10-04 13:00:00,NA,28.43,31.59,22.52,0.7,NA,8.92,0.53,7,10.01
"86",2018-10-04 14:00:00,NA,27.51,30.23,22.52,0.74,NA,5.89,0.75,5,7.31
"87",2018-10-04 15:00:00,NA,23.59,24.62,23.59,1,NA,5.41,0.75,3,10.01
"88",2018-10-04 16:00:00,NA,26.91,29.15,22.21,0.76,NA,18.12,0.36,1,7.19
"89",2018-10-04 17:00:00,NA,24.52,25.35,22.61,0.89,NA,3.93,0.36,0,10.01
"90",2018-10-04 18:00:00,NA,20.59,21.32,20.59,1,NA,7.55,0.75,0,10.01
"91",2018-10-04 19:00:00,NA,21.59,22.42,21.59,1,NA,5.41,0.75,0,10.01
"92",2018-10-04 20:00:00,NA,23.42,24.36,22.92,0.97,NA,2.2,0.36,0,10.01
"93",2018-10-04 21:00:00,NA,22.73,23.67,22.73,1,NA,14.77,0.53,0,5.13
"94",2018-10-04 22:00:00,NA,22.04,22.91,22.04,1,NA,7.55,0.36,0,10.01
"95",2018-10-04 23:00:00,NA,22.04,22.89,21.92,0.99,NA,2.62,0.36,0,10.01
"96",2018-10-05 00:00:00,NA,21.73,22.56,21.61,0.99,NA,1.66,0.36,0,10.01
"97",2018-10-05 01:00:00,NA,20.59,21.32,20.59,1,NA,5.41,0.75,0,10.01
"98",2018-10-05 02:00:00,NA,19.59,20.22,19.59,1,NA,3.6,0.75,0,10.01
"99",2018-10-05 03:00:00,NA,19.59,20.22,19.59,1,NA,3.6,0.75,0,10.01
"100",2018-10-05 04:00:00,NA,19.59,20.22,19.59,1,NA,NA,0.75,0,10.01
