"","time","precipIntensity","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility"
"1",2017-12-31 00:00:00,0,21.03,21.21,16.92,0.77,1014.99,0.97,0.25,0,10.01
"2",2017-12-31 01:00:00,0,20.22,20.41,16.86,0.81,NA,0,NA,0,10.01
"3",2017-12-31 02:00:00,0,19.67,19.84,16.57,0.82,NA,0,NA,0,10.01
"4",2017-12-31 03:00:00,0,20.58,20.73,16.63,0.78,NA,0,NA,0,10.01
"5",2017-12-31 04:00:00,0,20.02,20.14,16.28,0.79,NA,0,NA,0,10.01
"6",2017-12-31 05:00:00,0,20.02,20.14,16.28,0.79,NA,0,NA,0,10.01
"7",2017-12-31 06:00:00,0,20.59,20.69,16.16,0.76,1014.9,6.94,NA,0,10.01
"8",2017-12-31 07:00:00,0,19.88,19.99,16.21,0.79,NA,4.26,NA,NA,10.01
"9",2017-12-31 08:00:00,0,22.63,22.79,16.94,0.7,NA,3.09,NA,NA,10.01
"10",2017-12-31 09:00:00,0,24.83,24.99,17.08,0.62,1016.4,7.85,0.38,3,10.01
"11",2017-12-31 10:00:00,0,26.23,26.42,17.28,0.58,NA,7.63,NA,NA,10.01
"12",2017-12-31 11:00:00,0,27.07,27.87,17.46,0.56,NA,7.16,NA,NA,10.01
"13",2017-12-31 12:00:00,0,28.56,29.23,17.45,0.51,1015.19,4.28,0.13,7,10.01
"14",2017-12-31 13:00:00,0,29.36,30.34,18.32,0.52,NA,3.07,NA,NA,10.01
"15",2017-12-31 14:00:00,0,29.17,30.09,18.17,0.52,NA,2.35,0.19,5,10.01
"16",2017-12-31 15:00:00,0,29.72,30.43,17.72,0.49,NA,1.87,0.19,3,10.01
"17",2017-12-31 16:00:00,0,29.97,30.74,17.82,0.48,NA,2.38,0.19,1,10.01
"18",2017-12-31 17:00:00,0,28.63,29.52,18.06,0.53,NA,3.65,0.19,0,10.01
"19",2017-12-31 18:00:00,0,25.48,26.06,20.84,0.76,1013.5,1.69,0.25,0,10.01
"20",2017-12-31 19:00:00,0,24.42,24.89,19.79,0.75,NA,1.74,0.19,0,10.01
"21",2017-12-31 20:00:00,0,24.17,24.63,19.69,0.76,NA,0,0.44,0,10.01
"22",2017-12-31 21:00:00,0,23.38,23.91,20.08,0.82,NA,1.09,0.48,0,10.01
"23",2017-12-31 22:00:00,0,23.12,23.58,19.47,0.8,NA,0,0.44,0,10.01
"24",2017-12-31 23:00:00,0,22.87,23.31,19.31,0.8,NA,0,0.19,0,10.01
"25",2018-12-01 03:00:00,NA,17.6,18.03,17.6,1,NA,7.55,NA,0,10.01
"26",2018-12-01 04:00:00,NA,17.6,18.03,17.6,1,NA,5.41,NA,0,10.01
"27",2018-12-01 05:00:00,NA,16.6,16.93,16.6,1,NA,5.41,NA,0,10.01
"28",2018-12-01 06:00:00,NA,18.04,18.28,16.61,0.91,NA,2.3,NA,0,10.01
"29",2018-12-01 07:00:00,NA,19.34,19.58,16.92,0.86,NA,1.66,NA,NA,10.01
"30",2018-12-01 08:00:00,NA,19.59,20.12,19,0.96,NA,5.41,NA,NA,10.01
"31",2018-12-01 09:00:00,NA,25.61,26.08,19.99,0.71,NA,5.41,NA,NA,10.01
"32",2018-12-01 10:00:00,NA,26.35,27.51,18.99,0.64,NA,7.55,0.19,5,10.01
"33",2018-12-01 11:00:00,NA,27.61,29.21,19.98,0.63,NA,7.55,0.19,7,10.01
"34",2018-12-01 12:00:00,NA,27.61,29.63,20.99,0.67,NA,7.55,0.19,7,10.01
"35",2018-12-01 13:00:00,NA,28.61,30.88,20.99,0.64,NA,NA,0.19,6,10.01
"36",2018-12-01 14:00:00,NA,28.61,30.88,20.99,0.64,NA,9.37,0.19,4,10.01
"37",2018-12-01 15:00:00,NA,27.61,29.63,20.99,0.67,NA,9.37,0.19,2,10.01
"38",2018-12-01 16:00:00,NA,26.35,27.63,19.6,0.67,NA,11.1,0.19,1,10.01
"39",2018-12-01 17:00:00,NA,24.61,25.36,22,0.85,NA,7.55,0.19,0,10.01
"40",2018-12-01 18:00:00,NA,23.73,24.36,20.91,0.84,NA,8,0.19,0,10.01
"41",2018-12-01 19:00:00,NA,23.03,23.55,19.92,0.83,NA,5.58,0.19,0,10.01
"42",2018-12-01 20:00:00,NA,22.73,23.16,19.22,0.81,NA,4.99,0.19,0,10.01
"43",2018-12-01 21:00:00,NA,21.73,22.2,19.22,0.86,NA,7.55,0.19,0,10.01
"44",2018-12-01 22:00:00,NA,21.43,21.81,18.52,0.84,NA,NA,NA,0,10.01
"45",2018-12-01 23:00:00,NA,20.43,20.81,18.22,0.87,NA,4.62,NA,0,10.01
"46",2018-12-02 00:00:00,NA,20.04,20.38,17.91,0.88,NA,NA,NA,0,10.01
"47",2018-12-02 01:00:00,NA,19.59,20.12,19,0.96,NA,5.41,NA,0,10.01
"48",2018-12-02 03:00:00,NA,17.6,18.03,17.6,1,NA,5.41,NA,0,10.01
"49",2018-12-02 05:00:00,NA,16.6,16.93,16.6,1,NA,7.55,NA,0,10.01
"50",2018-12-02 06:00:00,NA,18.04,18.44,17.61,0.97,NA,1.66,NA,0,10.01
"51",2018-12-02 07:00:00,NA,19.73,20.24,18.92,0.95,NA,NA,0.19,0,10.01
"52",2018-12-02 08:00:00,NA,22.65,23.09,19.22,0.81,NA,0,0.19,1,10.01
"53",2018-12-02 09:00:00,NA,24.65,25.09,19.61,0.74,NA,3.93,0.19,3,10.01
"54",2018-12-02 10:00:00,NA,25.64,26.14,20.21,0.72,NA,9.37,0.44,5,10.01
"55",2018-12-02 11:00:00,NA,27.34,29.25,20.9,0.68,NA,9.37,0.44,6,10.01
"56",2018-12-02 12:00:00,NA,27.64,29.22,19.91,0.63,NA,10.03,0.65,5,10.01
"57",2018-12-02 13:00:00,NA,27.64,29.47,20.51,0.65,NA,9.8,0.65,5,10.01
"58",2018-12-02 14:00:00,NA,28.05,29.96,20.51,0.64,NA,9.93,0.58,4,10.01
"59",2018-12-02 15:00:00,NA,27.74,29.76,20.9,0.66,NA,10.32,0.36,2,10.01
